! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:57:42
! Stimulus(Гц),    S21(°)
2.82800000000E+09,+2.41764833008E+00
2.82843721861E+09,+2.48832805673E+00
2.82887443722E+09,+2.70913851947E+00
2.82931165583E+09,+2.45500399677E+00
2.82974887444E+09,+2.47623494752E+00
2.83018609305E+09,+2.70308693102E+00
2.83062331166E+09,+2.45857550530E+00
2.83106053027E+09,+2.21338211211E+00
2.83149774887E+09,+2.17906413914E+00
2.83193496748E+09,+2.16592571773E+00
2.83237218609E+09,+2.41706886672E+00
2.83280940470E+09,+2.27426242621E+00
2.83324662331E+09,+2.24171128087E+00
2.83368384192E+09,+2.25152070204E+00
2.83412106053E+09,+2.04041616798E+00
2.83455827914E+09,+2.19337525896E+00
2.83499549775E+09,+1.89422882149E+00
2.83543271636E+09,+1.96946008381E+00
2.83586993497E+09,+2.13299761931E+00
2.83630715358E+09,+2.18063540233E+00
2.83674437219E+09,+2.00689449850E+00
2.83718159080E+09,+1.63292465808E+00
2.83761880940E+09,+1.81526493477E+00
2.83805602801E+09,+1.50841011863E+00
2.83849324662E+09,+1.42181207239E+00
2.83893046523E+09,+1.54960111541E+00
2.83936768384E+09,+1.36258470064E+00
2.83980490245E+09,+1.33882937006E+00
2.84024212106E+09,+1.13084272469E+00
2.84067933967E+09,+9.91043828794E-01
2.84111655828E+09,+1.06837526524E+00
2.84155377689E+09,+8.68923547352E-01
2.84199099550E+09,+8.68586879376E-01
2.84242821411E+09,+4.92034748458E-01
2.84286543272E+09,+6.30183244100E-01
2.84330265133E+09,+2.79483238027E-01
2.84373986993E+09,+4.26793183825E-01
2.84417708854E+09,+9.26809991259E-02
2.84461430715E+09,+5.95091063645E-02
2.84505152576E+09,+3.67980709417E-02
2.84548874437E+09,-2.54191207960E-01
2.84592596298E+09,-4.72435060929E-01
2.84636318159E+09,-5.78875611275E-01
2.84680040020E+09,-7.36676765588E-01
2.84723761881E+09,-6.20336430947E-01
2.84767483742E+09,-9.34513236212E-01
2.84811205603E+09,-1.26949451867E+00
2.84854927464E+09,-1.32757416289E+00
2.84898649325E+09,-1.37837217891E+00
2.84942371186E+09,-1.55043386942E+00
2.84986093047E+09,-1.78103767605E+00
2.85029814907E+09,-1.96044570908E+00
2.85073536768E+09,-2.18356618200E+00
2.85117258629E+09,-2.31747170034E+00
2.85160980490E+09,-2.61454237074E+00
2.85204702351E+09,-2.74210065943E+00
2.85248424212E+09,-2.91792598732E+00
2.85292146073E+09,-2.99484164282E+00
2.85335867934E+09,-3.19908609827E+00
2.85379589795E+09,-3.42126062679E+00
2.85423311656E+09,-3.49224566827E+00
2.85467033517E+09,-3.87878477736E+00
2.85510755378E+09,-4.04559215704E+00
2.85554477239E+09,-4.25076642121E+00
2.85598199100E+09,-4.47642968587E+00
2.85641920960E+09,-4.61370201174E+00
2.85685642821E+09,-4.85744892218E+00
2.85729364682E+09,-5.07901746477E+00
2.85773086543E+09,-5.32989341514E+00
2.85816808404E+09,-5.40023254483E+00
2.85860530265E+09,-5.89603749012E+00
2.85904252126E+09,-5.94739331394E+00
2.85947973987E+09,-6.21291603768E+00
2.85991695848E+09,-6.37971604492E+00
2.86035417709E+09,-6.45550453098E+00
2.86079139570E+09,-6.81308767853E+00
2.86122861431E+09,-7.13951212999E+00
2.86166583292E+09,-7.43065584738E+00
2.86210305153E+09,-7.40405587006E+00
2.86254027014E+09,-7.76805838325E+00
2.86297748874E+09,-7.80757801645E+00
2.86341470735E+09,-8.30778163344E+00
2.86385192596E+09,-8.14001093734E+00
2.86428914457E+09,-8.49070095427E+00
2.86472636318E+09,-8.74177192290E+00
2.86516358179E+09,-9.09990132963E+00
2.86560080040E+09,-9.07955605161E+00
2.86603801901E+09,-9.32052189322E+00
2.86647523762E+09,-9.50072494909E+00
2.86691245623E+09,-9.82862175883E+00
2.86734967484E+09,-9.99645634925E+00
2.86778689345E+09,-1.03156852202E+01
2.86822411206E+09,-1.04318619974E+01
2.86866133067E+09,-1.07354215786E+01
2.86909854927E+09,-1.05955240649E+01
2.86953576788E+09,-1.09014111665E+01
2.86997298649E+09,-1.11921519358E+01
2.87041020510E+09,-1.13251373252E+01
2.87084742371E+09,-1.17035682516E+01
2.87128464232E+09,-1.18195926522E+01
2.87172186093E+09,-1.19835408781E+01
2.87215907954E+09,-1.20887131652E+01
2.87259629815E+09,-1.23563265120E+01
2.87303351676E+09,-1.24574543353E+01
2.87347073537E+09,-1.25930639697E+01
2.87390795398E+09,-1.28887867470E+01
2.87434517259E+09,-1.29770158455E+01
2.87478239120E+09,-1.31016612417E+01
2.87521960980E+09,-1.34495786347E+01
2.87565682841E+09,-1.34121794779E+01
2.87609404702E+09,-1.36050797002E+01
2.87653126563E+09,-1.36268195209E+01
2.87696848424E+09,-1.38642623380E+01
2.87740570285E+09,-1.40438584334E+01
2.87784292146E+09,-1.42492925467E+01
2.87828014007E+09,-1.41721939835E+01
2.87871735868E+09,-1.44233935204E+01
2.87915457729E+09,-1.46139118950E+01
2.87959179590E+09,-1.44544811930E+01
2.88002901451E+09,-1.46919556676E+01
2.88046623312E+09,-1.48739560481E+01
2.88090345173E+09,-1.49759975591E+01
2.88134067034E+09,-1.50977442830E+01
