! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:57:52
! Stimulus(Гц),    S21(дБ)
2.82800000000E+09,-4.53848589366E+01
2.82843721861E+09,-4.53560290647E+01
2.82887443722E+09,-4.53292768933E+01
2.82931165583E+09,-4.53201050947E+01
2.82974887444E+09,-4.53031855224E+01
2.83018609305E+09,-4.52544370001E+01
2.83062331166E+09,-4.52399720320E+01
2.83106053027E+09,-4.51657942789E+01
2.83149774887E+09,-4.51725650764E+01
2.83193496748E+09,-4.51504544204E+01
2.83237218609E+09,-4.50850334400E+01
2.83280940470E+09,-4.50695565410E+01
2.83324662331E+09,-4.50166358000E+01
2.83368384192E+09,-4.49909696757E+01
2.83412106053E+09,-4.49283327686E+01
2.83455827914E+09,-4.49117948336E+01
2.83499549775E+09,-4.49065264128E+01
2.83543271636E+09,-4.48510127013E+01
2.83586993497E+09,-4.48411304214E+01
2.83630715358E+09,-4.47997887723E+01
2.83674437219E+09,-4.47884192093E+01
2.83718159080E+09,-4.47357856265E+01
2.83761880940E+09,-4.47233148784E+01
2.83805602801E+09,-4.46862906696E+01
2.83849324662E+09,-4.46368426080E+01
2.83893046523E+09,-4.46307536452E+01
2.83936768384E+09,-4.46012878714E+01
2.83980490245E+09,-4.45606370986E+01
2.84024212106E+09,-4.45439197202E+01
2.84067933967E+09,-4.44569802890E+01
2.84111655828E+09,-4.44442955282E+01
2.84155377689E+09,-4.44073118917E+01
2.84199099550E+09,-4.43975434653E+01
2.84242821411E+09,-4.43355893253E+01
2.84286543272E+09,-4.43742278507E+01
2.84330265133E+09,-4.43179408289E+01
2.84373986993E+09,-4.42686266090E+01
2.84417708854E+09,-4.42353925779E+01
2.84461430715E+09,-4.42136003813E+01
2.84505152576E+09,-4.41438886593E+01
2.84548874437E+09,-4.41592842533E+01
2.84592596298E+09,-4.41058758817E+01
2.84636318159E+09,-4.40987088344E+01
2.84680040020E+09,-4.40561047128E+01
2.84723761881E+09,-4.40170508694E+01
2.84767483742E+09,-4.40260552800E+01
2.84811205603E+09,-4.39827997226E+01
2.84854927464E+09,-4.39348619981E+01
2.84898649325E+09,-4.39002856286E+01
2.84942371186E+09,-4.38992011540E+01
2.84986093047E+09,-4.38652172403E+01
2.85029814907E+09,-4.38393188735E+01
2.85073536768E+09,-4.37987446644E+01
2.85117258629E+09,-4.37900884008E+01
2.85160980490E+09,-4.37431614783E+01
2.85204702351E+09,-4.37294534704E+01
2.85248424212E+09,-4.37007104751E+01
2.85292146073E+09,-4.36842216749E+01
2.85335867934E+09,-4.36581649125E+01
2.85379589795E+09,-4.36139577680E+01
2.85423311656E+09,-4.36030264532E+01
2.85467033517E+09,-4.35969995673E+01
2.85510755378E+09,-4.35675042455E+01
2.85554477239E+09,-4.35723609900E+01
2.85598199100E+09,-4.35456838184E+01
2.85641920960E+09,-4.35014109497E+01
2.85685642821E+09,-4.34856467574E+01
2.85729364682E+09,-4.34716721416E+01
2.85773086543E+09,-4.34698130974E+01
2.85816808404E+09,-4.34455014541E+01
2.85860530265E+09,-4.34272717049E+01
2.85904252126E+09,-4.33998900081E+01
2.85947973987E+09,-4.33928853688E+01
2.85991695848E+09,-4.33632448859E+01
2.86035417709E+09,-4.33758751368E+01
2.86079139570E+09,-4.33614745990E+01
2.86122861431E+09,-4.33483599704E+01
