! Planar; Obzor-804;22140011; 22.4.2/3
! Date: 13.10.2023 11:17:40;;;
! Stimulus(Ãö);    S21(°);;
7.36002400000E+09;-6.88339152151E+03;;
7.40002250000E+09;-6.92392236419E+03;;
7.44002100000E+09;-6.97430503836E+03;;
7.48001950000E+09;-7.02008934257E+03;;
7.52001800000E+09;-7.06237191445E+03;;
7.56001650000E+09;-7.10036751244E+03;;
7.60001500000E+09;-7.13637211284E+03;;
7.64001350000E+09;-7.17081593841E+03;;
7.68001200000E+09;-7.20595309594E+03;;
7.72001050000E+09;-7.24192045715E+03;;
7.76000900000E+09;-7.27924062017E+03;;
7.80000750000E+09;-7.31369858486E+03;;
7.84000600000E+09;-7.35200520532E+03;;
7.88000450000E+09;-7.38579180211E+03;;
7.92000300000E+09;-7.42281550039E+03;;
7.96000150000E+09;-7.45578126205E+03;;
8.00000000000E+09;-7.49655488376E+03;;
