! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:22:18
! Stimulus(Гц),    S21(с)
4.62388694347E+09,+6.80424113191E-09
4.62573686843E+09,+6.52073497289E-09
4.62758679340E+09,+6.27566664851E-09
4.62943671836E+09,+6.03765414687E-09
4.63128664332E+09,+5.85428069897E-09
4.63313656828E+09,+5.72546459126E-09
4.63498649325E+09,+5.59888938914E-09
4.63683641821E+09,+5.49070853181E-09
4.63868634317E+09,+5.42372187494E-09
4.64053626813E+09,+5.43206987528E-09
4.64238619310E+09,+5.61088652630E-09
4.64423611806E+09,+5.56025514756E-09
4.64608604302E+09,+5.47472081545E-09
4.64793596798E+09,+5.39956037749E-09
4.64978589295E+09,+5.32895398313E-09
4.65163581791E+09,+5.22842498214E-09
4.65348574287E+09,+5.13254442368E-09
4.65533566783E+09,+5.04556737805E-09
4.65718559280E+09,+4.93469626078E-09
4.65903551776E+09,+4.84880472051E-09
4.66088544272E+09,+4.75678318173E-09
4.66273536768E+09,+4.66104296165E-09
4.66458529265E+09,+4.56725446673E-09
4.66643521761E+09,+4.48836325071E-09
4.66828514257E+09,+4.41963265106E-09
4.67013506753E+09,+4.32076275022E-09
4.67198499250E+09,+4.25243547951E-09
4.67383491746E+09,+4.18366364503E-09
4.67568484242E+09,+4.10424157549E-09
4.67753476738E+09,+4.03470099792E-09
4.67938469235E+09,+3.97813564251E-09
4.68123461731E+09,+3.78938903365E-09
4.68308454227E+09,+3.65370217871E-09
4.68493446723E+09,+3.60565984434E-09
4.68678439220E+09,+3.56545301987E-09
4.68863431716E+09,+3.54053015541E-09
4.69048424212E+09,+3.53273039239E-09
4.69233416708E+09,+3.50939853878E-09
4.69418409205E+09,+3.52624488798E-09
4.69603401701E+09,+3.55532733509E-09
4.69788394197E+09,+3.58895205438E-09
4.69973386693E+09,+3.63559971737E-09
4.70158379190E+09,+3.67135037110E-09
4.70343371686E+09,+3.75906755123E-09
4.70528364182E+09,+3.83365923546E-09
4.70713356678E+09,+3.93697878915E-09
4.70898349175E+09,+4.02003668351E-09
4.71083341671E+09,+4.12536287333E-09
4.71268334167E+09,+4.21543933919E-09
4.71453326663E+09,+4.32474555275E-09
4.71638319160E+09,+4.44673866464E-09
4.71823311656E+09,+4.56085664386E-09
4.72008304152E+09,+4.68066392382E-09
4.72193296648E+09,+4.70907559115E-09
4.72378289145E+09,+4.81443342266E-09
4.72563281641E+09,+4.92656635502E-09
4.72748274137E+09,+5.02594220324E-09
4.72933266633E+09,+5.10062571902E-09
4.73118259130E+09,+5.17395733427E-09
4.73303251626E+09,+5.19915524698E-09
4.73488244122E+09,+5.22993536394E-09
4.73673236618E+09,+5.24930651104E-09
4.73858229115E+09,+5.23350830816E-09
4.74043221611E+09,+5.19611861749E-09
4.74228214107E+09,+5.12813540039E-09
4.74413206603E+09,+5.04780407519E-09
4.74598199100E+09,+4.99733637031E-09
4.74783191596E+09,+4.89707700656E-09
4.74968184092E+09,+4.81596674270E-09
4.75153176588E+09,+4.71675662703E-09
4.75338169085E+09,+4.63599029594E-09
4.75523161581E+09,+4.56180034819E-09
4.75708154077E+09,+4.50263062812E-09
4.75893146573E+09,+4.47460660979E-09
4.76078139070E+09,+4.48342764752E-09
4.76263131566E+09,+4.52767254774E-09
4.76448124062E+09,+4.52571261997E-09
4.76633116558E+09,+4.53440685096E-09
4.76818109055E+09,+4.53743801504E-09
4.77003101551E+09,+4.55390426818E-09
4.77188094047E+09,+4.54912888917E-09
4.77373086543E+09,+4.57242250277E-09
4.77558079040E+09,+4.58889906149E-09
4.77743071536E+09,+4.63288317596E-09
4.77928064032E+09,+4.60933775767E-09
4.78113056528E+09,+4.64718870450E-09
4.78298049025E+09,+4.63713458971E-09
4.78483041521E+09,+4.65833313408E-09
4.78668034017E+09,+4.65113897383E-09
4.78853026513E+09,+4.64069768157E-09
4.79038019010E+09,+4.63979385017E-09
4.79223011506E+09,+4.60056092972E-09
4.79408004002E+09,+4.57872948981E-09
4.79592996498E+09,+4.52364192233E-09
4.79777988994E+09,+4.46591209527E-09
4.79962981491E+09,+4.38392778232E-09
4.80147973987E+09,+4.34217760949E-09
4.80332966483E+09,+4.24474872562E-09
4.80517958979E+09,+4.13803866647E-09
4.80702951476E+09,+3.99034444178E-09
4.80887943972E+09,+3.86305792316E-09
4.81072936468E+09,+3.72226779186E-09
4.81257928964E+09,+3.59467184719E-09
4.81442921461E+09,+3.45848721159E-09
4.81627913957E+09,+3.33714886088E-09
4.81812906453E+09,+3.23413901178E-09
4.81997898949E+09,+3.13422437381E-09
4.82182891446E+09,+3.10300418028E-09
4.82367883942E+09,+3.05527342409E-09
4.82552876438E+09,+3.03059873117E-09
4.82737868934E+09,+3.05874800618E-09
4.82922861431E+09,+3.09020400237E-09
4.83107853927E+09,+3.16276852350E-09
4.83292846423E+09,+3.25469833159E-09
4.83477838919E+09,+3.38566111973E-09
4.83662831416E+09,+3.48387363972E-09
4.83847823912E+09,+3.62698690833E-09
4.84032816408E+09,+3.74822081021E-09
4.84217808904E+09,+3.60744115080E-09
4.84402801401E+09,+3.77021514377E-09
4.84587793897E+09,+3.88543907393E-09
4.84772786393E+09,+4.01188729953E-09
4.84957778889E+09,+4.10517323185E-09
4.85142771386E+09,+4.20148976808E-09
4.85327763882E+09,+4.25960059570E-09
4.85512756378E+09,+4.27493120206E-09
4.85697748874E+09,+4.28587102145E-09
4.85882741371E+09,+4.28266558792E-09
4.86067733867E+09,+4.24199032469E-09
4.86252726363E+09,+4.24173326403E-09
4.86437718859E+09,+4.20669208400E-09
4.86622711356E+09,+4.16147906345E-09
4.86807703852E+09,+4.10357352560E-09
4.86992696348E+09,+4.08433291654E-09
4.87177688844E+09,+4.05351548805E-09
4.87362681341E+09,+4.04559520255E-09
4.87547673837E+09,+3.99350071121E-09
4.87732666333E+09,+3.96202176023E-09
4.87917658829E+09,+3.93025782929E-09
4.88102651326E+09,+4.08713403922E-09
4.88287643822E+09,+4.23857884096E-09
4.88472636318E+09,+4.20336730669E-09
4.88657628814E+09,+4.15466630243E-09
4.88842621311E+09,+4.10779872270E-09
4.89027613807E+09,+4.07702442150E-09
4.89212606303E+09,+4.07363877454E-09
4.89397598799E+09,+4.02641117079E-09
4.89582591296E+09,+4.01568456975E-09
4.89767583792E+09,+4.00340383448E-09
4.89952576288E+09,+3.99059681175E-09
4.90137568784E+09,+4.03681310815E-09
4.90322561281E+09,+4.04575029187E-09
4.90507553777E+09,+4.10741625834E-09
4.90692546273E+09,+4.12500070564E-09
4.90877538769E+09,+4.19300973881E-09
4.91062531266E+09,+4.23637857000E-09
4.91247523762E+09,+4.30205828983E-09
4.91432516258E+09,+4.34185046306E-09
4.91617508754E+09,+4.35534351078E-09
4.91802501251E+09,+4.38378781140E-09
4.91987493747E+09,+4.37015403781E-09
4.92172486243E+09,+4.32589022680E-09
4.92357478739E+09,+4.27905344955E-09
4.92542471236E+09,+4.22608355664E-09
4.92727463732E+09,+4.14643637597E-09
4.92912456228E+09,+4.06103401490E-09
4.93097448724E+09,+3.97067783759E-09
4.93282441221E+09,+3.88704551571E-09
4.93467433717E+09,+3.79205732948E-09
4.93652426213E+09,+3.69056621964E-09
4.93837418709E+09,+3.61491159869E-09
4.94022411206E+09,+3.55571073319E-09
4.94207403702E+09,+3.47907293392E-09
4.94392396198E+09,+3.43282908278E-09
4.94577388694E+09,+3.38846630438E-09
4.94762381191E+09,+3.36976739192E-09
4.94947373687E+09,+3.35375154825E-09
4.95132366183E+09,+3.35119069210E-09
4.95317358679E+09,+3.35701932943E-09
4.95502351176E+09,+3.38246827903E-09
4.95687343672E+09,+3.40387186390E-09
4.95872336168E+09,+3.42578724180E-09
4.96057328664E+09,+3.41050635481E-09
4.96242321161E+09,+3.27923906271E-09
4.96427313657E+09,+3.31199255491E-09
4.96612306153E+09,+3.36078239233E-09
4.96797298649E+09,+3.38971551832E-09
4.96982291146E+09,+3.43335711832E-09
4.97167283642E+09,+3.45654725705E-09
4.97352276138E+09,+3.47836940869E-09
4.97537268634E+09,+3.50865986461E-09
4.97722261131E+09,+3.53657874954E-09
4.97907253627E+09,+3.55461790918E-09
4.98092246123E+09,+3.58059609527E-09
4.98277238619E+09,+3.56155552333E-09
4.98462231116E+09,+3.59244405286E-09
4.98647223612E+09,+3.60173388169E-09
4.98832216108E+09,+3.60797089460E-09
4.99017208604E+09,+3.59430632936E-09
4.99202201101E+09,+3.59194452003E-09
4.99387193597E+09,+3.56121741118E-09
4.99572186093E+09,+3.59551206677E-09
4.99757178589E+09,+3.57753725143E-09
4.99942171086E+09,+3.58380960848E-09
5.00127163582E+09,+3.57385407012E-09
5.00312156078E+09,+3.61180713156E-09
5.00497148574E+09,+3.60126377319E-09
5.00682141071E+09,+3.58310882854E-09
5.00867133567E+09,+3.57882078090E-09
5.01052126063E+09,+3.56514800464E-09
5.01237118559E+09,+3.53144166455E-09
5.01422111056E+09,+3.53253941393E-09
5.01607103552E+09,+3.50587212095E-09
5.01792096048E+09,+3.50864822199E-09
5.01977088544E+09,+3.49691470730E-09
5.02162081041E+09,+3.44505210647E-09
5.02347073537E+09,+3.44824296181E-09
5.02532066033E+09,+3.42956282658E-09
5.02717058529E+09,+3.43460770927E-09
5.02902051026E+09,+3.43035439920E-09
5.03087043522E+09,+3.41401330747E-09
5.03272036018E+09,+3.38755250135E-09
5.03457028514E+09,+3.41957306825E-09
5.03642021011E+09,+3.41355962041E-09
5.03827013507E+09,+3.43666388259E-09
5.04012006003E+09,+3.44616443938E-09
5.04196998499E+09,+3.58300276077E-09
5.04381990995E+09,+3.60689896160E-09
5.04566983492E+09,+3.64385007274E-09
5.04751975988E+09,+3.65856679874E-09
5.04936968484E+09,+3.70081294238E-09
5.05121960980E+09,+3.69954059681E-09
5.05306953477E+09,+3.73037085496E-09
5.05491945973E+09,+3.74593463258E-09
5.05676938469E+09,+3.77494737296E-09
5.05861930965E+09,+3.79539523341E-09
5.06046923462E+09,+3.80739815867E-09
5.06231915958E+09,+3.81800050464E-09
5.06416908454E+09,+3.81425767261E-09
5.06601900950E+09,+3.80606702546E-09
5.06786893447E+09,+3.80210443608E-09
5.06971885943E+09,+3.79625125212E-09
5.07156878439E+09,+3.77392592073E-09
5.07341870935E+09,+3.77247804037E-09
5.07526863432E+09,+3.75536552740E-09
5.07711855928E+09,+3.73506059296E-09
5.07896848424E+09,+3.70533505782E-09
5.08081840920E+09,+3.64033225292E-09
5.08266833417E+09,+3.54058866654E-09
5.08451825913E+09,+3.51466860472E-09
5.08636818409E+09,+3.46747477034E-09
5.08821810905E+09,+3.46506166034E-09
5.09006803402E+09,+3.41681001123E-09
5.09191795898E+09,+3.39606884774E-09
5.09376788394E+09,+3.37697364833E-09
5.09561780890E+09,+3.34736364374E-09
5.09746773387E+09,+3.33155304221E-09
5.09931765883E+09,+3.31863218461E-09
5.10116758379E+09,+3.30527631921E-09
5.10301750875E+09,+3.32908126566E-09
5.10486743372E+09,+3.31634435080E-09
5.10671735868E+09,+3.32487325552E-09
5.10856728364E+09,+3.35210399389E-09
5.11041720860E+09,+3.36661168817E-09
5.11226713357E+09,+3.41051014915E-09
5.11411705853E+09,+3.44157804098E-09
5.11596698349E+09,+3.45875393476E-09
5.11781690845E+09,+3.46548047880E-09
5.11966683342E+09,+3.47902683652E-09
5.12151675838E+09,+3.51866976994E-09
5.12336668334E+09,+3.53089403168E-09
5.12521660830E+09,+3.51215607412E-09
5.12706653327E+09,+3.47791663602E-09
5.12891645823E+09,+3.44403535852E-09
5.13076638319E+09,+3.41727273786E-09
5.13261630815E+09,+3.37339522919E-09
5.13446623312E+09,+3.32834805749E-09
5.13631615808E+09,+3.27707213728E-09
5.13816608304E+09,+3.17001872217E-09
5.14001600800E+09,+3.16346251133E-09
5.14186593297E+09,+3.11795961296E-09
5.14371585793E+09,+3.06793947153E-09
5.14556578289E+09,+3.02471196730E-09
5.14741570785E+09,+2.99834622884E-09
5.14926563282E+09,+2.95057773238E-09
5.15111555778E+09,+2.96580690612E-09
5.15296548274E+09,+2.98388795813E-09
5.15481540770E+09,+2.98225613688E-09
5.15666533267E+09,+2.96797270051E-09
5.15851525763E+09,+2.99643515631E-09
5.16036518259E+09,+3.03758829486E-09
5.16221510755E+09,+3.15241751456E-09
5.16406503252E+09,+3.18646102489E-09
5.16591495748E+09,+3.21005428228E-09
5.16776488244E+09,+3.21780885818E-09
5.16961480740E+09,+3.21423769557E-09
5.17146473237E+09,+3.26793662060E-09
5.17331465733E+09,+3.27480331583E-09
5.17516458229E+09,+3.27123132704E-09
5.17701450725E+09,+3.27375497882E-09
5.17886443222E+09,+3.26349297204E-09
5.18071435718E+09,+3.28428167005E-09
5.18256428214E+09,+3.30054522806E-09
5.18441420710E+09,+3.31270029548E-09
5.18626413207E+09,+3.29246090832E-09
5.18811405703E+09,+3.31692206810E-09
5.18996398199E+09,+3.31895398194E-09
5.19181390695E+09,+3.38023297476E-09
5.19366383192E+09,+3.38925314728E-09
5.19551375688E+09,+3.41734764554E-09
5.19736368184E+09,+3.42655209337E-09
5.19921360680E+09,+3.46100384895E-09
5.20106353177E+09,+3.42418962115E-09
5.20291345673E+09,+3.36430646986E-09
5.20476338169E+09,+3.38543490413E-09
5.20661330665E+09,+3.38386029133E-09
5.20846323162E+09,+3.41172710211E-09
5.21031315658E+09,+3.38383731003E-09
5.21216308154E+09,+3.38765403263E-09
5.21401300650E+09,+3.38248211995E-09
5.21586293147E+09,+3.33874561874E-09
5.21771285643E+09,+3.34893034910E-09
5.21956278139E+09,+3.30219709261E-09
5.22141270635E+09,+3.26481397615E-09
5.22326263132E+09,+3.28749519759E-09
5.22511255628E+09,+3.23477813271E-09
5.22696248124E+09,+3.21122446005E-09
5.22881240620E+09,+3.22146221810E-09
5.23066233117E+09,+3.20466241436E-09
5.23251225613E+09,+3.18980854777E-09
5.23436218109E+09,+3.18944793177E-09
5.23621210605E+09,+3.22691996451E-09
5.23806203102E+09,+3.22289065676E-09
5.23991195598E+09,+3.23601406944E-09
5.24176188094E+09,+3.21491862659E-09
5.24361180590E+09,+3.22952478130E-09
5.24546173087E+09,+3.24243553412E-09
5.24731165583E+09,+3.25244943385E-09
5.24916158079E+09,+3.27869866394E-09
5.25101150575E+09,+3.27092279131E-09
5.25286143072E+09,+3.24806763462E-09
5.25471135568E+09,+3.26875666596E-09
5.25656128064E+09,+3.24125242818E-09
5.25841120560E+09,+3.24136375214E-09
5.26026113057E+09,+3.23486701007E-09
5.26211105553E+09,+3.19904841949E-09
5.26396098049E+09,+3.16846185613E-09
5.26581090545E+09,+3.16648470187E-09
5.26766083042E+09,+3.15956653508E-09
5.26951075538E+09,+3.13492957286E-09
5.27136068034E+09,+3.12033474644E-09
5.27321060530E+09,+3.07026257631E-09
5.27506053027E+09,+3.10726141666E-09
5.27691045523E+09,+3.09000544993E-09
5.27876038019E+09,+3.11141613394E-09
5.28061030515E+09,+3.13539380158E-09
5.28246023012E+09,+3.19867221931E-09
5.28431015508E+09,+3.22956286718E-09
5.28616008004E+09,+3.22799260119E-09
5.28801000500E+09,+3.24319751112E-09
5.28985992996E+09,+3.26255470335E-09
5.29170985493E+09,+3.19963812040E-09
5.29355977989E+09,+3.22064044003E-09
5.29540970485E+09,+3.20151984502E-09
5.29725962981E+09,+3.20315279577E-09
5.29910955478E+09,+3.18961227819E-09
5.30095947974E+09,+3.12308562806E-09
5.30280940470E+09,+3.11063665653E-09
5.30465932966E+09,+3.05435871887E-09
5.30650925463E+09,+3.03701854735E-09
5.30835917959E+09,+3.00685120816E-09
5.31020910455E+09,+2.98377630854E-09
5.31205902951E+09,+2.92057522895E-09
5.31390895448E+09,+2.89086787361E-09
5.31575887944E+09,+2.88997012359E-09
5.31760880440E+09,+2.86735710561E-09
5.31945872936E+09,+2.87847710245E-09
5.32130865433E+09,+2.88651329243E-09
5.32315857929E+09,+2.90273726125E-09
5.32500850425E+09,+2.93614927550E-09
5.32685842921E+09,+2.95383656947E-09
5.32870835418E+09,+3.02341361777E-09
5.33055827914E+09,+3.03846360264E-09
5.33240820410E+09,+3.07106427194E-09
5.33425812906E+09,+3.12910243950E-09
5.33610805403E+09,+3.17611346236E-09
5.33795797899E+09,+3.21862104870E-09
5.33980790395E+09,+3.25698376537E-09
5.34165782891E+09,+3.28253330143E-09
5.34350775388E+09,+3.28997284930E-09
5.34535767884E+09,+3.32686996766E-09
5.34720760380E+09,+3.31642137371E-09
5.34905752876E+09,+3.30511240290E-09
5.35090745373E+09,+3.32510211305E-09
5.35275737869E+09,+3.28318928414E-09
5.35460730365E+09,+3.23860144568E-09
5.35645722861E+09,+3.25097212725E-09
5.35830715358E+09,+3.20628786386E-09
5.36015707854E+09,+3.18712769730E-09
5.36200700350E+09,+2.89986102631E-09
5.36385692846E+09,+2.90177170646E-09
5.36570685343E+09,+2.89322572142E-09
5.36755677839E+09,+2.87045964626E-09
5.36940670335E+09,+2.87117041672E-09
5.37125662831E+09,+2.89573267090E-09
5.37310655328E+09,+2.91987004055E-09
5.37495647824E+09,+2.92485631424E-09
5.37680640320E+09,+2.94230522338E-09
5.37865632816E+09,+2.93275240863E-09
5.38050625313E+09,+2.97721783289E-09
5.38235617809E+09,+2.98233886835E-09
5.38420610305E+09,+3.01075905824E-09
5.38605602801E+09,+2.98772810413E-09
5.38790595298E+09,+2.98295828906E-09
5.38975587794E+09,+2.97711371724E-09
5.39160580290E+09,+3.01538491337E-09
5.39345572786E+09,+2.97062314112E-09
5.39530565283E+09,+2.97095122614E-09
5.39715557779E+09,+2.93099476735E-09
5.39900550275E+09,+2.92279415359E-09
5.40085542771E+09,+3.05225457038E-09
5.40270535268E+09,+3.24694125852E-09
5.40455527764E+09,+3.23609723019E-09
5.40640520260E+09,+3.22395589601E-09
5.40825512756E+09,+3.23997642360E-09
5.41010505253E+09,+3.23847620251E-09
5.41195497749E+09,+3.28003094251E-09
5.41380490245E+09,+3.30010540133E-09
5.41565482741E+09,+3.29491805240E-09
5.41750475238E+09,+3.28591391461E-09
5.41935467734E+09,+3.29761502584E-09
5.42120460230E+09,+3.30507371200E-09
5.42305452726E+09,+3.30163964141E-09
5.42490445223E+09,+3.26140136265E-09
5.42675437719E+09,+3.23455818963E-09
5.42860430215E+09,+3.19973983238E-09
5.43045422711E+09,+3.15654489900E-09
5.43230415208E+09,+3.10768915512E-09
5.43415407704E+09,+3.05564933196E-09
5.43600400200E+09,+3.02134125334E-09
5.43785392696E+09,+2.93634420886E-09
5.43970385193E+09,+2.91446314458E-09
5.44155377689E+09,+2.85214017908E-09
5.44340370185E+09,+2.81778228355E-09
5.44525362681E+09,+2.78648693073E-09
5.44710355178E+09,+2.77006363721E-09
5.44895347674E+09,+2.77188598140E-09
5.45080340170E+09,+2.78397456254E-09
5.45265332666E+09,+2.81330897024E-09
5.45450325163E+09,+2.85624654873E-09
5.45635317659E+09,+2.87192924645E-09
5.45820310155E+09,+2.90830130303E-09
5.46005302651E+09,+2.93502156142E-09
5.46190295148E+09,+3.02065166077E-09
5.46375287644E+09,+3.05905755229E-09
5.46560280140E+09,+3.09026835582E-09
5.46745272636E+09,+3.12338534769E-09
5.46930265133E+09,+3.12567782130E-09
5.47115257629E+09,+3.18172607154E-09
5.47300250125E+09,+3.17209614366E-09
5.47485242621E+09,+3.19092358727E-09
5.47670235118E+09,+3.18425730619E-09
5.47855227614E+09,+3.16757313488E-09
5.48040220110E+09,+3.11373701562E-09
5.48225212606E+09,+2.87959801142E-09
5.48410205103E+09,+2.84444331361E-09
5.48595197599E+09,+2.85087037558E-09
5.48780190095E+09,+2.79991690163E-09
5.48965182591E+09,+2.79646240099E-09
5.49150175088E+09,+2.77379973981E-09
5.49335167584E+09,+2.76989220229E-09
5.49520160080E+09,+2.75375290106E-09
5.49705152576E+09,+2.74088156010E-09
5.49890145073E+09,+2.76769547876E-09
5.50075137569E+09,+2.73256724542E-09
5.50260130065E+09,+2.76514589175E-09
5.50445122561E+09,+2.74933413198E-09
5.50630115058E+09,+2.76280794501E-09
5.50815107554E+09,+2.78451443167E-09
5.51000100050E+09,+2.77640241723E-09
5.51185092546E+09,+2.77587846471E-09
5.51370085043E+09,+2.77819795951E-09
5.51555077539E+09,+2.77059593707E-09
5.51740070035E+09,+2.75905479678E-09
5.51925062531E+09,+2.79887313708E-09
5.52110055028E+09,+2.83861430978E-09
