! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:22:18
! Stimulus(Гц),    S21(с)
4.30200000000E+09,+3.95002736107E-09
4.30384992496E+09,+3.95002736107E-09
4.30569984992E+09,+4.48129618999E-09
4.30754977489E+09,+5.48253098811E-09
4.30939969985E+09,+7.62485313585E-09
4.31124962481E+09,+1.30803785837E-08
4.31309954977E+09,+3.05452648709E-08
4.31494947474E+09,+8.31725340206E-08
4.31679939970E+09,+6.88108808142E-08
4.31864932466E+09,+2.35991683091E-08
4.32049924962E+09,+1.03724153963E-08
4.32234917459E+09,+5.69594185651E-09
4.32419909955E+09,+3.63342937193E-09
4.32604902451E+09,+2.47443627040E-09
4.32789894947E+09,+1.73659129696E-09
4.32974887444E+09,+1.30138071658E-09
4.33159879940E+09,+1.00478114573E-09
4.33344872436E+09,+8.09015007643E-10
4.33529864932E+09,+6.32960786893E-10
4.33714857429E+09,+6.09196320021E-10
4.33899849925E+09,+5.57734877263E-10
4.34084842421E+09,+5.93255505517E-10
4.34269834917E+09,+6.70758556403E-10
4.34454827414E+09,+8.70923003806E-10
4.34639819910E+09,+1.06473407028E-09
4.34824812406E+09,+1.39905262616E-09
4.35009804902E+09,+1.87520527554E-09
4.35194797399E+09,+2.48385543061E-09
4.35379789895E+09,+3.51028760807E-09
4.35564782391E+09,+5.03734473850E-09
4.35749774887E+09,+7.47825787030E-09
4.35934767384E+09,+1.18215930722E-08
4.36119759880E+09,+2.00949293024E-08
4.36304752376E+09,+3.47038034602E-08
4.36489744872E+09,+4.76895860642E-08
4.36674737369E+09,+3.96133684734E-08
4.36859729865E+09,+2.39316224917E-08
4.37044722361E+09,+1.42625693973E-08
4.37229714857E+09,+9.30081566326E-09
4.37414707354E+09,+6.65172285315E-09
4.37599699850E+09,+5.20604749139E-09
4.37784692346E+09,+4.27978462509E-09
4.37969684842E+09,+3.73937579594E-09
4.38154677339E+09,+3.38779051590E-09
4.38339669835E+09,+3.14545572651E-09
4.38524662331E+09,+3.02361789871E-09
4.38709654827E+09,+2.91807918806E-09
4.38894647324E+09,+2.85028898330E-09
4.39079639820E+09,+2.80870878543E-09
4.39264632316E+09,+2.78212939184E-09
4.39449624812E+09,+2.77655828604E-09
4.39634617309E+09,+2.75770551856E-09
4.39819609805E+09,+2.75445953814E-09
4.40004602301E+09,+2.79086500206E-09
4.40189594797E+09,+2.87561714719E-09
4.40374587294E+09,+2.93085798563E-09
4.40559579790E+09,+3.02313887657E-09
4.40744572286E+09,+3.11770021944E-09
4.40929564782E+09,+3.26972991348E-09
4.41114557279E+09,+3.52074209137E-09
4.41299549775E+09,+3.73548310095E-09
4.41484542271E+09,+4.22229760996E-09
4.41669534767E+09,+4.65557995313E-09
4.41854527264E+09,+5.35453303106E-09
4.42039519760E+09,+6.31151838676E-09
4.42224512256E+09,+7.46085742205E-09
4.42409504752E+09,+9.14071979941E-09
4.42594497249E+09,+1.12975597516E-08
4.42779489745E+09,+1.39802987724E-08
4.42964482241E+09,+1.71628572626E-08
4.43149474737E+09,+2.00605285900E-08
4.43334467234E+09,+2.16790946234E-08
4.43519459730E+09,+2.11009494886E-08
4.43704452226E+09,+1.86801430465E-08
4.43889444722E+09,+1.56179491073E-08
4.44074437219E+09,+1.27599457744E-08
4.44259429715E+09,+1.03163036151E-08
4.44444422211E+09,+8.55558972195E-09
4.44629414707E+09,+7.17206124290E-09
4.44814407204E+09,+6.13469041639E-09
4.44999399700E+09,+5.40174730235E-09
4.45184392196E+09,+4.76512526626E-09
4.45369384692E+09,+4.35971866995E-09
4.45554377189E+09,+3.95322548116E-09
4.45739369685E+09,+3.66323884111E-09
4.45924362181E+09,+3.44610169988E-09
4.46109354677E+09,+3.19928799562E-09
4.46294347174E+09,+3.01757729340E-09
4.46479339670E+09,+2.90365919795E-09
4.46664332166E+09,+2.72197834857E-09
4.46849324662E+09,+2.62938196502E-09
4.47034317159E+09,+2.51708513254E-09
4.47219309655E+09,+2.41537597161E-09
4.47404302151E+09,+2.33919575757E-09
4.47589294647E+09,+2.30465812260E-09
4.47774287144E+09,+2.25131268344E-09
4.47959279640E+09,+2.23329355863E-09
4.48144272136E+09,+2.18866635913E-09
4.48329264632E+09,+2.21063083821E-09
4.48514257129E+09,+2.28711190112E-09
4.48699249625E+09,+2.37887706900E-09
4.48884242121E+09,+2.55097187810E-09
4.49069234617E+09,+2.73166245908E-09
4.49254227114E+09,+3.02863343292E-09
4.49439219610E+09,+3.33611991588E-09
4.49624212106E+09,+3.76832785436E-09
4.49809204602E+09,+4.27389804767E-09
4.49994197099E+09,+4.86773693237E-09
4.50179189595E+09,+5.63801473797E-09
4.50364182091E+09,+6.47153142288E-09
4.50549174587E+09,+7.40419381896E-09
4.50734167084E+09,+8.53914167325E-09
4.50919159580E+09,+9.58746084870E-09
4.51104152076E+09,+1.06794364228E-08
4.51289144572E+09,+1.14991006648E-08
4.51474137069E+09,+1.20466453374E-08
4.51659129565E+09,+1.22125540997E-08
4.51844122061E+09,+1.19660597375E-08
4.52029114557E+09,+1.14209728280E-08
4.52214107054E+09,+1.07960676625E-08
4.52399099550E+09,+9.98989159634E-09
4.52584092046E+09,+9.18454444955E-09
4.52769084542E+09,+8.46996176486E-09
4.52954077039E+09,+7.88774080384E-09
4.53139069535E+09,+7.39295388734E-09
4.53324062031E+09,+7.03343380963E-09
4.53509054527E+09,+6.67091613848E-09
4.53694047024E+09,+6.47470412407E-09
4.53879039520E+09,+6.25233515710E-09
4.54064032016E+09,+6.09934203682E-09
4.54249024512E+09,+5.94080721451E-09
4.54434017009E+09,+5.78759100486E-09
4.54619009505E+09,+5.62890812357E-09
4.54804002001E+09,+5.45466170248E-09
4.54988994497E+09,+5.26279651453E-09
4.55173986993E+09,+5.08037950896E-09
4.55358979490E+09,+4.85270430658E-09
4.55543971986E+09,+4.63437703356E-09
4.55728964482E+09,+4.39321565380E-09
4.55913956978E+09,+4.14981805033E-09
4.56098949475E+09,+3.91405304911E-09
4.56283941971E+09,+3.67778198527E-09
4.56468934467E+09,+3.46253315655E-09
4.56653926963E+09,+3.25072653027E-09
4.56838919460E+09,+3.05471573722E-09
4.57023911956E+09,+2.89977000475E-09
4.57208904452E+09,+2.77075757784E-09
4.57393896948E+09,+2.61929548966E-09
4.57578889445E+09,+2.55597509288E-09
4.57763881941E+09,+2.46938495962E-09
4.57948874437E+09,+2.44148902702E-09
4.58133866933E+09,+2.45154564527E-09
4.58318859430E+09,+2.49654079355E-09
4.58503851926E+09,+2.56007660159E-09
4.58688844422E+09,+2.69522376126E-09
4.58873836918E+09,+2.85284017279E-09
4.59058829415E+09,+3.07184843065E-09
4.59243821911E+09,+3.36225764365E-09
4.59428814407E+09,+3.67704853921E-09
4.59613806903E+09,+4.04888043407E-09
4.59798799400E+09,+4.49344209727E-09
4.59983791896E+09,+4.95766565751E-09
4.60168784392E+09,+5.32627272874E-09
4.60353776888E+09,+5.86261430507E-09
4.60538769385E+09,+6.35338839365E-09
4.60723761881E+09,+6.88449056163E-09
4.60908754377E+09,+7.28360678510E-09
4.61093746873E+09,+7.60595873559E-09
4.61278739370E+09,+7.80950596348E-09
4.61463731866E+09,+7.87013408853E-09
4.61648724362E+09,+7.80147636520E-09
4.61833716858E+09,+7.64000691746E-09
4.62018709355E+09,+7.37893802450E-09
4.62203701851E+09,+7.11642879124E-09
