Column1;Column2;Column3;Column4
4,29E+09;-87,69;4,29;970,067322
4,29E+09;-88,05;4,29;933,7849344
4,29E+09;-88,40;4,29;980,0323241
4,29E+09;-88,77;4,29;956,0510528
4,29E+09;-89,13;4,29;1058,841056
4,29E+09;-89,53;4,29;954,3309279
4,29E+09;-89,88;4,29;951,4215083
4,29E+09;-90,24;4,29;998,4569686
4,29E+09;-90,61;4,29;1038,462237
4,29E+09;-91,00;4,29;985,7962479
4,29E+09;-91,37;4,29;1008,31049
4,29E+09;-91,75;4,29;997,738684
4,29E+09;-92,13;4,29;1057,730407
4,29E+09;-92,52;4,29;1022,431706
4,29E+09;-92,91;4,29;1005,148003
4,29E+09;-93,28;4,29;1028,588486
4,29E+09;-93,67;4,29;1031,824259
4,29E+09;-94,05;4,29;1042,829036
4,29E+09;-94,45;4,29;997,0056727
4,30E+09;-94,82;4,30;1072,792486
4,30E+09;-95,22;4,30;1055,422548
4,30E+09;-95,62;4,30;1042,233285
4,30E+09;-96,01;4,30;1036,428676
4,30E+09;-96,40;4,30;1050,898622
4,30E+09;-96,79;4,30;1033,897337
4,30E+09;-97,18;4,30;1054,320777
4,30E+09;-97,57;4,30;1036,179653
4,30E+09;-97,96;4,30;1021,934731
4,30E+09;-98,34;4,30;1075,93873
4,30E+09;-98,75;4,30;1014,759888
4,30E+09;-99,13;4,30;1103,851038
4,30E+09;-99,54;4,30;1005,705626
4,30E+09;-99,92;4,30;1047,480416
4,30E+09;-100,31;4,30;1025,580992
4,30E+09;-100,70;4,30;1025,262957
4,30E+09;-101,08;4,30;1010,045532
4,30E+09;-101,46;4,30;1028,35914
4,30E+09;-101,84;4,30;1029,236009
4,30E+09;-102,23;4,30;1040,977387
4,30E+09;-102,62;4,30;998,3936105
4,30E+09;-102,99;4,30;1014,578555
4,30E+09;-103,37;4,30;1038,547734
4,30E+09;-103,76;4,30;963,9755315
4,30E+09;-104,13;4,30;1013,638999
4,30E+09;-104,50;4,30;1027,254929
4,30E+09;-104,89;4,30;966,7777726
4,31E+09;-105,25;4,31;994,4931789
4,31E+09;-105,63;4,31;982,9565256
4,31E+09;-105,99;4,31;967,7198902
4,31E+09;-106,36;4,31;999,7137933
4,31E+09;-106,73;4,31;987,4501877
4,31E+09;-107,10;4,31;968,0733021
4,31E+09;-107,46;4,31;962,3417898
4,31E+09;-107,82;4,31;967,2395647
4,31E+09;-108,19;4,31;971,0498702
4,31E+09;-108,55;4,31;957,6778608
4,31E+09;-108,91;4,31;941,1223846
4,31E+09;-109,26;4,31;985,5972171
4,31E+09;-109,63;4,31;909,1050393
4,31E+09;-109,97;4,31;965,2352081
4,31E+09;-110,34;4,31;935,0761819
4,31E+09;-110,69;4,31;948,6236969
4,31E+09;-111,04;4,31;918,0958447
4,31E+09;-111,39;4,31;949,3711621
4,31E+09;-111,74;4,31;955,4200957
4,31E+09;-112,10;4,31;937,6949328
4,31E+09;-112,45;4,31;934,8307085
4,31E+09;-112,80;4,31;898,6964857
4,31E+09;-113,14;4,31;947,781592
4,31E+09;-113,49;4,31;932,3273489
4,31E+09;-113,84;4,31;932,4756256
4,31E+09;-114,19;4,31;938,6610138
4,31E+09;-114,54;4,31;927,5218903
4,32E+09;-114,89;4,32;931,1051971
4,32E+09;-115,24;4,32;920,9315008
4,32E+09;-115,59;4,32;923,8826117
4,32E+09;-115,93;4,32;908,971093
4,32E+09;-116,27;4,32;935,9455196
4,32E+09;-116,62;4,32;926,406905
4,32E+09;-116,97;4,32;915,5563899
4,32E+09;-117,31;4,32;986,4263307
4,32E+09;-117,68;4,32;943,4142167
4,32E+09;-118,04;4,32;890,2224265
4,32E+09;-118,37;4,32;942,9520202
4,32E+09;-118,72;4,32;930,4405757
4,32E+09;-119,07;4,32;926,2343616
4,32E+09;-119,42;4,32;947,7284836
4,32E+09;-119,78;4,32;962,874649
4,32E+09;-120,14;4,32;934,1018406
4,32E+09;-120,49;4,32;963,2563941
4,32E+09;-120,85;4,32;956,6169264
4,32E+09;-121,21;4,32;949,2344095
4,32E+09;-121,56;4,32;948,758474
4,32E+09;-121,92;4,32;973,5638709
4,32E+09;-122,28;4,32;942,0390127
4,32E+09;-122,64;4,32;961,68786
4,32E+09;-123,00;4,32;965,7785235
4,32E+09;-123,36;4,32;985,2783909
4,32E+09;-123,73;4,32;984,5050447
4,33E+09;-124,10;4,33;966,6815709
4,33E+09;-124,46;4,33;990,967491
4,33E+09;-124,83;4,33;940,4524836
4,33E+09;-125,18;4,33;1015,973247
4,33E+09;-125,56;4,33;983,2929701
4,33E+09;-125,93;4,33;997,6744615
4,33E+09;-126,31;4,33;960,5573311
4,33E+09;-126,67;4,33;1018,149324
4,33E+09;-127,05;4,33;986,7764157
4,33E+09;-127,42;4,33;1007,597532
4,33E+09;-127,80;4,33;983,3958493
4,33E+09;-128,16;4,33;967,4238855
4,33E+09;-128,53;4,33;1026,91011
4,33E+09;-128,91;4,33;1003,710691
4,33E+09;-129,29;4,33;986,696867
4,33E+09;-129,66;4,33;1018,385408
4,33E+09;-130,04;4,33;999,4889438
4,33E+09;-130,41;4,33;1003,207134
4,33E+09;-130,79;4,33;978,4009059
4,33E+09;-131,16;4,33;1044,239961
4,33E+09;-131,55;4,33;990,5364266
4,33E+09;-131,92;4,33;1009,293057
4,33E+09;-132,30;4,33;982,8358337
4,33E+09;-132,67;4,33;990,3963499
4,33E+09;-133,04;4,33;985,8943535
4,33E+09;-133,41;4,33;1023,176302
4,33E+09;-133,79;4,33;1009,362786
4,34E+09;-134,17;4,34;960,5920688
4,34E+09;-134,53;4,34;1000,978509
4,34E+09;-134,90;4,34;1002,429109
4,34E+09;-135,28;4,34;995,6009576
4,34E+09;-135,65;4,34;982,1457155
4,34E+09;-136,02;4,34;1007,544512
4,34E+09;-136,40;4,34;980,1471752
4,34E+09;-136,77;4,34;941,6376932
4,34E+09;-137,12;4,34;963,9618012
4,34E+09;-137,48;4,34;976,070656
4,34E+09;-137,85;4,34;970,9825015
4,34E+09;-138,21;4,34;964,9294845
4,34E+09;-138,57;4,34;938,8856018
4,34E+09;-138,92;4,34;977,4191738
4,34E+09;-139,29;4,34;946,6745976
4,34E+09;-139,65;4,34;948,9675499
4,34E+09;-140,00;4,34;951,6120733
4,34E+09;-140,36;4,34;948,3684209
4,34E+09;-140,71;4,34;911,5361756
4,34E+09;-141,06;4,34;939,5932114
4,34E+09;-141,41;4,34;936,9678
4,34E+09;-141,76;4,34;893,7843569
4,34E+09;-142,09;4,34;945,3416066
4,34E+09;-142,45;4,34;901,3647088
