L, [м];! Stimulus(Гц);    S21(°);f, [ГГц];φ, [рад];ω, [рад*ГГц];τГВЗ, [нс];γ(ω), [рад/м];vгр.,[Гм/c];;;
0,55;4252000000,00;-52,91;4,25;-0,92;26,72;3,60;-1,68;-0,15;;25;2,8
;4252374837,00;-53,40;4,25;-0,93;26,72;3,53;-1,69;-0,16;;50;2,8
;4252749675,00;-53,88;4,25;-0,94;26,72;3,46;-1,71;-0,16;;;
;4253124512,00;-54,34;4,25;-0,95;26,72;3,51;-1,72;-0,16;;;
;4253499350,00;-54,82;4,25;-0,96;26,73;3,55;-1,74;-0,15;;;
;4253874187,00;-55,30;4,25;-0,97;26,73;3,49;-1,75;-0,16;;;
;4254249025,00;-55,77;4,25;-0,97;26,73;3,58;-1,77;-0,15;;;
;4254623862,00;-56,25;4,25;-0,98;26,73;3,50;-1,79;-0,16;;;
;4254998700,00;-56,72;4,26;-0,99;26,73;3,49;-1,80;-0,16;;;
;4255373537,00;-57,19;4,26;-1,00;26,74;3,46;-1,81;-0,16;;;
;4255748375,00;-57,66;4,26;-1,01;26,74;3,40;-1,83;-0,16;;;
;4256123212,00;-58,12;4,26;-1,01;26,74;3,48;-1,84;-0,16;;;
;4256498050,00;-58,59;4,26;-1,02;26,74;3,50;-1,86;-0,16;;;
;4256872887,00;-59,06;4,26;-1,03;26,75;3,17;-1,87;-0,17;;;
;4257247725,00;-59,49;4,26;-1,04;26,75;3,45;-1,89;-0,16;;;
;4257622562,00;-59,95;4,26;-1,05;26,75;3,35;-1,90;-0,16;;;
;4257997400,00;-60,41;4,26;-1,05;26,75;3,28;-1,92;-0,17;;;
;4258372237,00;-60,85;4,26;-1,06;26,76;3,31;-1,93;-0,17;;;
;4258747075,00;-61,30;4,26;-1,07;26,76;3,26;-1,95;-0,17;;;
;4259121912,00;-61,74;4,26;-1,08;26,76;3,24;-1,96;-0,17;;;
;4259496750,00;-62,17;4,26;-1,09;26,76;3,18;-1,97;-0,17;;;
;4259871587,00;-62,60;4,26;-1,09;26,77;3,18;-1,99;-0,17;;;
;4260246425,00;-63,03;4,26;-1,10;26,77;3,12;-2,00;-0,18;;;
;4260621262,00;-63,45;4,26;-1,11;26,77;3,15;-2,01;-0,17;;;
;4260996100,00;-63,88;4,26;-1,11;26,77;3,04;-2,03;-0,18;;;
;4261370937,00;-64,29;4,26;-1,12;26,77;3,03;-2,04;-0,18;;;
;4261745775,00;-64,70;4,26;-1,13;26,78;2,99;-2,05;-0,18;;;
;4262120612,00;-65,10;4,26;-1,14;26,78;3,02;-2,07;-0,18;;;
;4262495450,00;-65,51;4,26;-1,14;26,78;2,87;-2,08;-0,19;;;
;4262870287,00;-65,90;4,26;-1,15;26,78;2,95;-2,09;-0,19;;;
;4263245125,00;-66,29;4,26;-1,16;26,79;2,78;-2,10;-0,20;;;
;4263619962,00;-66,67;4,26;-1,16;26,79;2,91;-2,12;-0,19;;;
;4263994799,00;-67,06;4,26;-1,17;26,79;2,75;-2,13;-0,20;;;
;4264369637,00;-67,43;4,26;-1,18;26,79;2,81;-2,14;-0,20;;;
;4264744474,00;-67,81;4,26;-1,18;26,80;2,78;-2,15;-0,20;;;
;4265119312,00;-68,18;4,27;-1,19;26,80;2,65;-2,16;-0,21;;;
;4265494149,00;-68,54;4,27;-1,20;26,80;2,72;-2,18;-0,20;;;
;4265868987,00;-68,91;4,27;-1,20;26,80;2,64;-2,19;-0,21;;;
;4266243824,00;-69,27;4,27;-1,21;26,81;2,62;-2,20;-0,21;;;
;4266618662,00;-69,62;4,27;-1,22;26,81;2,54;-2,21;-0,22;;;
;4266993499,00;-69,96;4,27;-1,22;26,81;2,52;-2,22;-0,22;;;
;4267368337,00;-70,30;4,27;-1,23;26,81;2,53;-2,23;-0,22;;;
;4267743174,00;-70,64;4,27;-1,23;26,82;2,48;-2,24;-0,22;;;
;4268118012,00;-70,98;4,27;-1,24;26,82;2,50;-2,25;-0,22;;;
;4268492849,00;-71,32;4,27;-1,24;26,82;2,41;-2,26;-0,23;;;
;4268867687,00;-71,64;4,27;-1,25;26,82;2,39;-2,27;-0,23;;;
;4269242524,00;-71,96;4,27;-1,26;26,82;2,38;-2,28;-0,23;;;
;4269617362,00;-72,29;4,27;-1,26;26,83;2,44;-2,29;-0,23;;;
;4269992199,00;-72,61;4,27;-1,27;26,83;2,33;-2,30;-0,24;;;
;4270367037,00;-72,93;4,27;-1,27;26,83;2,36;-2,31;-0,23;;;
;4270741874,00;-73,25;4,27;-1,28;26,83;2,20;-2,32;-0,25;;;
;4271116712,00;-73,54;4,27;-1,28;26,84;2,35;-2,33;-0,23;;;
;4271491549,00;-73,86;4,27;-1,29;26,84;2,27;-2,34;-0,24;;;
;4271866387,00;-74,17;4,27;-1,29;26,84;2,26;-2,35;-0,24;;;
;4272241224,00;-74,47;4,27;-1,30;26,84;2,28;-2,36;-0,24;;;
;4272616062,00;-74,78;4,27;-1,31;26,85;2,24;-2,37;-0,25;;;
;4272990899,00;-75,08;4,27;-1,31;26,85;2,18;-2,38;-0,25;;;
;4273365737,00;-75,38;4,27;-1,32;26,85;2,27;-2,39;-0,24;;;
;4273740574,00;-75,68;4,27;-1,32;26,85;2,14;-2,40;-0,26;;;
;4274115412,00;-75,97;4,27;-1,33;26,86;2,26;-2,41;-0,24;;;
;4274490249,00;-76,28;4,27;-1,33;26,86;2,25;-2,42;-0,24;;;
;4274865087,00;-76,58;4,27;-1,34;26,86;2,15;-2,43;-0,26;;;
;4275239924,00;-76,87;4,28;-1,34;26,86;2,18;-2,44;-0,25;;;
;4275614761,00;-77,16;4,28;-1,35;26,86;2,22;-2,45;-0,25;;;
;4275989599,00;-77,46;4,28;-1,35;26,87;2,04;-2,46;-0,27;;;
;4276364436,00;-77,74;4,28;-1,36;26,87;2,30;-2,47;-0,24;;;
;4276739274,00;-78,05;4,28;-1,36;26,87;2,24;-2,48;-0,25;;;
;4277114111,00;-78,35;4,28;-1,37;26,87;2,14;-2,49;-0,26;;;
;4277488949,00;-78,64;4,28;-1,37;26,88;2,25;-2,50;-0,24;;;
;4277863786,00;-78,94;4,28;-1,38;26,88;2,23;-2,51;-0,25;;;
;4278238624,00;-79,25;4,28;-1,38;26,88;2,18;-2,51;-0,25;;;
;4278613461,00;-79,54;4,28;-1,39;26,88;2,21;-2,52;-0,25;;;
;4278988299,00;-79,84;4,28;-1,39;26,89;2,22;-2,53;-0,25;;;
;4279363136,00;-80,14;4,28;-1,40;26,89;2,26;-2,54;-0,24;;;
;4279737974,00;-80,44;4,28;-1,40;26,89;2,37;-2,55;-0,23;;;
;4280112811,00;-80,76;4,28;-1,41;26,89;2,36;-2,56;-0,23;;;
;4280487649,00;-81,08;4,28;-1,42;26,90;2,12;-2,57;-0,26;;;
;4280862486,00;-81,37;4,28;-1,42;26,90;2,36;-2,58;-0,23;;;
;4281237324,00;-81,69;4,28;-1,43;26,90;2,27;-2,59;-0,24;;;
;4281612161,00;-81,99;4,28;-1,43;26,90;2,32;-2,60;-0,24;;;
;4281986999,00;-82,31;4,28;-1,44;26,90;2,36;-2,61;-0,23;;;
;4282361836,00;-82,62;4,28;-1,44;26,91;2,42;-2,62;-0,23;;;
;4282736674,00;-82,95;4,28;-1,45;26,91;2,31;-2,63;-0,24;;;
;4283111511,00;-83,26;4,28;-1,45;26,91;2,47;-2,64;-0,22;;;
;4283486349,00;-83,60;4,28;-1,46;26,91;2,43;-2,65;-0,23;;;
;4283861186,00;-83,92;4,28;-1,46;26,92;2,43;-2,66;-0,23;;;
;4284236024,00;-84,25;4,28;-1,47;26,92;2,50;-2,67;-0,22;;;
;4284610861,00;-84,59;4,28;-1,48;26,92;2,56;-2,68;-0,21;;;
;4284985699,00;-84,93;4,28;-1,48;26,92;2,31;-2,70;-0,24;;;
;4285360536,00;-85,25;4,29;-1,49;26,93;2,60;-2,71;-0,21;;;
;4285735374,00;-85,60;4,29;-1,49;26,93;2,57;-2,72;-0,21;;;
;4286110211,00;-85,94;4,29;-1,50;26,93;2,57;-2,73;-0,21;;;
;4286485049,00;-86,29;4,29;-1,51;26,93;2,49;-2,74;-0,22;;;
;4286859886,00;-86,63;4,29;-1,51;26,94;2,64;-2,75;-0,21;;;
;4287234723,00;-86,98;4,29;-1,52;26,94;2,62;-2,76;-0,21;;;
;4287609561,00;-87,34;4,29;-1,52;26,94;2,62;-2,77;-0,21;;;
;4287984398,00;-87,69;4,29;-1,53;26,94;2,69;-2,78;-0,20;;;
;4288359236,00;-88,05;4,29;-1,54;26,94;2,59;-2,79;-0,21;;;
;4288734073,00;-88,40;4,29;-1,54;26,95;2,72;-2,81;-0,20;;;
;4289108911,00;-88,77;4,29;-1,55;26,95;2,66;-2,82;-0,21;;;
;4289483748,00;-89,13;4,29;-1,56;26,95;2,94;-2,83;-0,19;;;
;4289858586,00;-89,53;4,29;-1,56;26,95;2,65;-2,84;-0,21;;;
;4290233423,00;-89,88;4,29;-1,57;26,96;2,64;-2,85;-0,21;;;
;4290608261,00;-90,24;4,29;-1,57;26,96;2,77;-2,86;-0,20;;;
;4290983098,00;-90,61;4,29;-1,58;26,96;2,88;-2,88;-0,19;;;
;4291357936,00;-91,00;4,29;-1,59;26,96;2,74;-2,89;-0,20;;;
;4291732773,00;-91,37;4,29;-1,59;26,97;2,80;-2,90;-0,20;;;
;4292107611,00;-91,75;4,29;-1,60;26,97;2,77;-2,91;-0,20;;;
;4292482448,00;-92,13;4,29;-1,61;26,97;2,94;-2,92;-0,19;;;
;4292857286,00;-92,52;4,29;-1,61;26,97;2,84;-2,94;-0,19;;;
;4293232123,00;-92,91;4,29;-1,62;26,98;2,79;-2,95;-0,20;;;
;4293606961,00;-93,28;4,29;-1,63;26,98;2,86;-2,96;-0,19;;;
;4293981798,00;-93,67;4,29;-1,63;26,98;2,87;-2,97;-0,19;;;
;4294356636,00;-94,05;4,29;-1,64;26,98;2,90;-2,98;-0,19;;;
;4294731473,00;-94,45;4,29;-1,65;26,98;2,77;-3,00;-0,20;;;
;4295106311,00;-94,82;4,30;-1,65;26,99;2,98;-3,01;-0,18;;;
;4295481148,00;-95,22;4,30;-1,66;26,99;2,93;-3,02;-0,19;;;
;4295855986,00;-95,62;4,30;-1,67;26,99;2,90;-3,03;-0,19;;;
;4296230823,00;-96,01;4,30;-1,68;26,99;2,88;-3,05;-0,19;;;
;4296605661,00;-96,40;4,30;-1,68;27,00;2,92;-3,06;-0,19;;;
;4296980498,00;-96,79;4,30;-1,69;27,00;2,87;-3,07;-0,19;;;
;4297355336,00;-97,18;4,30;-1,70;27,00;2,93;-3,08;-0,19;;;
;4297730173,00;-97,57;4,30;-1,70;27,00;2,88;-3,10;-0,19;;;
;4298105011,00;-97,96;4,30;-1,71;27,01;2,84;-3,11;-0,19;;;
;4298479848,00;-98,34;4,30;-1,72;27,01;2,99;-3,12;-0,18;;;
;4298854685,00;-98,75;4,30;-1,72;27,01;2,82;-3,13;-0,20;;;
;4299229523,00;-99,13;4,30;-1,73;27,01;3,07;-3,15;-0,18;;;
;4299604360,00;-99,54;4,30;-1,74;27,02;2,79;-3,16;-0,20;;;
;4299979198,00;-99,92;4,30;-1,74;27,02;2,91;-3,17;-0,19;;;
;4300354035,00;-100,31;4,30;-1,75;27,02;2,85;-3,18;-0,19;;;
;4300728873,00;-100,70;4,30;-1,76;27,02;2,85;-3,20;-0,19;;;
;4301103710,00;-101,08;4,30;-1,76;27,02;2,81;-3,21;-0,20;;;
;4301478548,00;-101,46;4,30;-1,77;27,03;2,86;-3,22;-0,19;;;
;4301853385,00;-101,84;4,30;-1,78;27,03;2,86;-3,23;-0,19;;;
;4302228223,00;-102,23;4,30;-1,78;27,03;2,89;-3,24;-0,19;;;
;4302603060,00;-102,62;4,30;-1,79;27,03;2,77;-3,26;-0,20;;;
;4302977898,00;-102,99;4,30;-1,80;27,04;2,82;-3,27;-0,20;;;
;4303352735,00;-103,37;4,30;-1,80;27,04;2,88;-3,28;-0,19;;;
;4303727573,00;-103,76;4,30;-1,81;27,04;2,68;-3,29;-0,21;;;
;4304102410,00;-104,13;4,30;-1,82;27,04;2,82;-3,30;-0,20;;;
;4304477248,00;-104,50;4,30;-1,82;27,05;2,85;-3,32;-0,19;;;
;4304852085,00;-104,89;4,30;-1,83;27,05;2,69;-3,33;-0,20;;;
;4305226923,00;-105,25;4,31;-1,84;27,05;2,76;-3,34;-0,20;;;
;4305601760,00;-105,63;4,31;-1,84;27,05;2,73;-3,35;-0,20;;;
;4305976598,00;-105,99;4,31;-1,85;27,06;2,69;-3,36;-0,20;;;
;4306351435,00;-106,36;4,31;-1,86;27,06;2,78;-3,38;-0,20;;;
;4306726273,00;-106,73;4,31;-1,86;27,06;2,74;-3,39;-0,20;;;
;4307101110,00;-107,10;4,31;-1,87;27,06;2,69;-3,40;-0,20;;;
;4307475948,00;-107,46;4,31;-1,88;27,06;2,67;-3,41;-0,21;;;
;4307850785,00;-107,82;4,31;-1,88;27,07;2,69;-3,42;-0,20;;;
;4308225623,00;-108,19;4,31;-1,89;27,07;2,70;-3,43;-0,20;;;
;4308600460,00;-108,55;4,31;-1,89;27,07;2,66;-3,44;-0,21;;;
;4308975298,00;-108,91;4,31;-1,90;27,07;2,61;-3,46;-0,21;;;
;4309350135,00;-109,26;4,31;-1,91;27,08;2,74;-3,47;-0,20;;;
;4309724973,00;-109,63;4,31;-1,91;27,08;2,53;-3,48;-0,22;;;
;4310099810,00;-109,97;4,31;-1,92;27,08;2,68;-3,49;-0,21;;;
;4310474647,00;-110,34;4,31;-1,93;27,08;2,60;-3,50;-0,21;;;
;4310849485,00;-110,69;4,31;-1,93;27,09;2,64;-3,51;-0,21;;;
;4311224322,00;-111,04;4,31;-1,94;27,09;2,55;-3,52;-0,22;;;
;4311599160,00;-111,39;4,31;-1,94;27,09;2,64;-3,53;-0,21;;;
;4311973997,00;-111,74;4,31;-1,95;27,09;2,65;-3,55;-0,21;;;
;4312348835,00;-112,10;4,31;-1,96;27,10;2,60;-3,56;-0,21;;;
;4312723672,00;-112,45;4,31;-1,96;27,10;2,60;-3,57;-0,21;;;
;4313098510,00;-112,80;4,31;-1,97;27,10;2,50;-3,58;-0,22;;;
;4313473347,00;-113,14;4,31;-1,97;27,10;2,63;-3,59;-0,21;;;
;4313848185,00;-113,49;4,31;-1,98;27,10;2,59;-3,60;-0,21;;;
;4314223022,00;-113,84;4,31;-1,99;27,11;2,59;-3,61;-0,21;;;
;4314597860,00;-114,19;4,31;-1,99;27,11;2,61;-3,62;-0,21;;;
;4314972697,00;-114,54;4,31;-2,00;27,11;2,58;-3,63;-0,21;;;
;4315347535,00;-114,89;4,32;-2,01;27,11;2,59;-3,65;-0,21;;;
;4315722372,00;-115,24;4,32;-2,01;27,12;2,56;-3,66;-0,21;;;
;4316097210,00;-115,59;4,32;-2,02;27,12;2,57;-3,67;-0,21;;;
;4316472047,00;-115,93;4,32;-2,02;27,12;2,52;-3,68;-0,22;;;
;4316846885,00;-116,27;4,32;-2,03;27,12;2,60;-3,69;-0,21;;;
;4317221722,00;-116,62;4,32;-2,04;27,13;2,57;-3,70;-0,21;;;
;4317596560,00;-116,97;4,32;-2,04;27,13;2,54;-3,71;-0,22;;;
;4317971397,00;-117,31;4,32;-2,05;27,13;2,74;-3,72;-0,20;;;
;4318346235,00;-117,68;4,32;-2,05;27,13;2,62;-3,73;-0,21;;;
;4318721072,00;-118,04;4,32;-2,06;27,14;2,47;-3,75;-0,22;;;
;4319095910,00;-118,37;4,32;-2,07;27,14;2,62;-3,76;-0,21;;;
;4319470747,00;-118,72;4,32;-2,07;27,14;2,58;-3,77;-0,21;;;
;4319845585,00;-119,07;4,32;-2,08;27,14;2,57;-3,78;-0,21;;;
;4320220422,00;-119,42;4,32;-2,08;27,14;2,63;-3,79;-0,21;;;
;4320595260,00;-119,78;4,32;-2,09;27,15;2,67;-3,80;-0,21;;;
;4320970097,00;-120,14;4,32;-2,10;27,15;2,59;-3,81;-0,21;;;
;4321344934,00;-120,49;4,32;-2,10;27,15;2,68;-3,82;-0,21;;;
;4321719772,00;-120,85;4,32;-2,11;27,15;2,66;-3,83;-0,21;;;
;4322094609,00;-121,21;4,32;-2,12;27,16;2,64;-3,85;-0,21;;;
;4322469447,00;-121,56;4,32;-2,12;27,16;2,64;-3,86;-0,21;;;
;4322844284,00;-121,92;4,32;-2,13;27,16;2,70;-3,87;-0,20;;;
;4323219122,00;-122,28;4,32;-2,13;27,16;2,62;-3,88;-0,21;;;
;4323593959,00;-122,64;4,32;-2,14;27,17;2,67;-3,89;-0,21;;;
;4323968797,00;-123,00;4,32;-2,15;27,17;2,68;-3,90;-0,21;;;
;4324343634,00;-123,36;4,32;-2,15;27,17;2,74;-3,91;-0,20;;;
;4324718472,00;-123,73;4,32;-2,16;27,17;2,73;-3,93;-0,20;;;
;4325093309,00;-124,10;4,33;-2,17;27,18;2,69;-3,94;-0,20;;;
;4325468147,00;-124,46;4,33;-2,17;27,18;2,75;-3,95;-0,20;;;
;4325842984,00;-124,83;4,33;-2,18;27,18;2,61;-3,96;-0,21;;;
;4326217822,00;-125,18;4,33;-2,18;27,18;2,82;-3,97;-0,19;;;
;4326592659,00;-125,56;4,33;-2,19;27,18;2,73;-3,98;-0,20;;;
;4326967497,00;-125,93;4,33;-2,20;27,19;2,77;-4,00;-0,20;;;
;4327342334,00;-126,31;4,33;-2,20;27,19;2,67;-4,01;-0,21;;;
;4327717172,00;-126,67;4,33;-2,21;27,19;2,83;-4,02;-0,19;;;
;4328092009,00;-127,05;4,33;-2,22;27,19;2,74;-4,03;-0,20;;;
;4328466847,00;-127,42;4,33;-2,22;27,20;2,80;-4,04;-0,20;;;
;4328841684,00;-127,80;4,33;-2,23;27,20;2,73;-4,06;-0,20;;;
;4329216522,00;-128,16;4,33;-2,24;27,20;2,69;-4,07;-0,20;;;
;4329591359,00;-128,53;4,33;-2,24;27,20;2,85;-4,08;-0,19;;;
;4329966197,00;-128,91;4,33;-2,25;27,21;2,79;-4,09;-0,20;;;
;4330341034,00;-129,29;4,33;-2,26;27,21;2,74;-4,10;-0,20;;;
;4330715872,00;-129,66;4,33;-2,26;27,21;2,83;-4,11;-0,19;;;
;4331090709,00;-130,04;4,33;-2,27;27,21;2,78;-4,13;-0,20;;;
;4331465547,00;-130,41;4,33;-2,28;27,22;2,79;-4,14;-0,20;;;
;4331840384,00;-130,79;4,33;-2,28;27,22;2,72;-4,15;-0,20;;;
;4332215222,00;-131,16;4,33;-2,29;27,22;2,90;-4,16;-0,19;;;
;4332590059,00;-131,55;4,33;-2,30;27,22;2,75;-4,17;-0,20;;;
;4332964896,00;-131,92;4,33;-2,30;27,22;2,80;-4,19;-0,20;;;
;4333339734,00;-132,30;4,33;-2,31;27,23;2,73;-4,20;-0,20;;;
;4333714571,00;-132,67;4,33;-2,32;27,23;2,75;-4,21;-0,20;;;
;4334089409,00;-133,04;4,33;-2,32;27,23;2,74;-4,22;-0,20;;;
;4334464246,00;-133,41;4,33;-2,33;27,23;2,84;-4,23;-0,19;;;
;4334839084,00;-133,79;4,33;-2,34;27,24;2,80;-4,25;-0,20;;;
;4335213921,00;-134,17;4,34;-2,34;27,24;2,67;-4,26;-0,21;;;
;4335588759,00;-134,53;4,34;-2,35;27,24;2,78;-4,27;-0,20;;;
;4335963596,00;-134,90;4,34;-2,35;27,24;2,78;-4,28;-0,20;;;
;4336338434,00;-135,28;4,34;-2,36;27,25;2,77;-4,29;-0,20;;;
;4336713271,00;-135,65;4,34;-2,37;27,25;2,73;-4,30;-0,20;;;
;4337088109,00;-136,02;4,34;-2,37;27,25;2,80;-4,32;-0,20;;;
;4337462946,00;-136,40;4,34;-2,38;27,25;2,72;-4,33;-0,20;;;
;4337837784,00;-136,77;4,34;-2,39;27,26;2,62;-4,34;-0,21;;;
;4338212621,00;-137,12;4,34;-2,39;27,26;2,68;-4,35;-0,21;;;
;4338587459,00;-137,48;4,34;-2,40;27,26;2,71;-4,36;-0,20;;;
;4338962296,00;-137,85;4,34;-2,41;27,26;2,70;-4,37;-0,20;;;
;4339337134,00;-138,21;4,34;-2,41;27,26;2,68;-4,39;-0,21;;;
;4339711971,00;-138,57;4,34;-2,42;27,27;2,61;-4,40;-0,21;;;
;4340086809,00;-138,92;4,34;-2,42;27,27;2,72;-4,41;-0,20;;;
;4340461646,00;-139,29;4,34;-2,43;27,27;2,63;-4,42;-0,21;;;
;4340836484,00;-139,65;4,34;-2,44;27,27;2,64;-4,43;-0,21;;;
;4341211321,00;-140,00;4,34;-2,44;27,28;2,64;-4,44;-0,21;;;
;4341586159,00;-140,36;4,34;-2,45;27,28;2,63;-4,45;-0,21;;;
;4341960996,00;-140,71;4,34;-2,46;27,28;2,53;-4,47;-0,22;;;
;4342335834,00;-141,06;4,34;-2,46;27,28;2,61;-4,48;-0,21;;;
;4342710671,00;-141,41;4,34;-2,47;27,29;2,60;-4,49;-0,21;;;
;4343085509,00;-141,76;4,34;-2,47;27,29;2,48;-4,50;-0,22;;;
;4343460346,00;-142,09;4,34;-2,48;27,29;2,63;-4,51;-0,21;;;
;4343835184,00;-142,45;4,34;-2,49;27,29;2,50;-4,52;-0,22;;;
;4344210021,00;-142,79;4,34;-2,49;27,30;2,51;-4,53;-0,22;;;
;4344584858,00;-143,12;4,34;-2,50;27,30;2,46;-4,54;-0,22;;;
;4344959696,00;-143,46;4,34;-2,50;27,30;2,50;-4,55;-0,22;;;
;4345334533,00;-143,79;4,35;-2,51;27,30;2,47;-4,56;-0,22;;;
;4345709371,00;-144,13;4,35;-2,52;27,30;2,47;-4,57;-0,22;;;
;4346084208,00;-144,46;4,35;-2,52;27,31;2,49;-4,58;-0,22;;;
;4346459046,00;-144,80;4,35;-2,53;27,31;2,47;-4,59;-0,22;;;
;4346833883,00;-145,13;4,35;-2,53;27,31;2,31;-4,61;-0,24;;;
;4347208721,00;-145,44;4,35;-2,54;27,31;2,52;-4,62;-0,22;;;
;4347583558,00;-145,78;4,35;-2,54;27,32;2,37;-4,63;-0,23;;;
;4347958396,00;-146,10;4,35;-2,55;27,32;2,44;-4,64;-0,23;;;
;4348333233,00;-146,43;4,35;-2,56;27,32;2,37;-4,65;-0,23;;;
;4348708071,00;-146,75;4,35;-2,56;27,32;2,34;-4,66;-0,23;;;
;4349082908,00;-147,07;4,35;-2,57;27,33;2,40;-4,67;-0,23;;;
;4349457746,00;-147,39;4,35;-2,57;27,33;2,31;-4,68;-0,24;;;
;4349832583,00;-147,70;4,35;-2,58;27,33;2,38;-4,69;-0,23;;;
;4350207421,00;-148,02;4,35;-2,58;27,33;2,34;-4,70;-0,23;;;
;4350582258,00;-148,34;4,35;-2,59;27,34;2,28;-4,71;-0,24;;;
;4350957096,00;-148,65;4,35;-2,59;27,34;2,32;-4,72;-0,24;;;
;4351331933,00;-148,96;4,35;-2,60;27,34;2,21;-4,73;-0,25;;;
;4351706771,00;-149,26;4,35;-2,61;27,34;2,29;-4,74;-0,24;;;
;4352081608,00;-149,57;4,35;-2,61;27,34;2,32;-4,75;-0,24;;;
;4352456446,00;-149,88;4,35;-2,62;27,35;2,29;-4,76;-0,24;;;
;4352831283,00;-150,19;4,35;-2,62;27,35;2,22;-4,77;-0,25;;;
;4353206121,00;-150,49;4,35;-2,63;27,35;2,26;-4,78;-0,24;;;
;4353580958,00;-150,79;4,35;-2,63;27,35;2,28;-4,79;-0,24;;;
;4353955796,00;-151,10;4,35;-2,64;27,36;2,26;-4,79;-0,24;;;
;4354330633,00;-151,41;4,35;-2,64;27,36;2,19;-4,80;-0,25;;;
;4354705471,00;-151,70;4,35;-2,65;27,36;2,21;-4,81;-0,25;;;
;4355080308,00;-152,00;4,36;-2,65;27,36;2,20;-4,82;-0,25;;;
;4355455146,00;-152,30;4,36;-2,66;27,37;2,31;-4,83;-0,24;;;
;4355829983,00;-152,61;4,36;-2,66;27,37;2,17;-4,84;-0,25;;;
;4356204820,00;-152,90;4,36;-2,67;27,37;2,25;-4,85;-0,24;;;
;4356579658,00;-153,21;4,36;-2,67;27,37;2,13;-4,86;-0,26;;;
;4356954495,00;-153,49;4,36;-2,68;27,38;2,21;-4,87;-0,25;;;
;4357329333,00;-153,79;4,36;-2,68;27,38;2,18;-4,88;-0,25;;;
;4357704170,00;-154,08;4,36;-2,69;27,38;2,22;-4,89;-0,25;;;
;4358079008,00;-154,38;4,36;-2,69;27,38;2,22;-4,90;-0,25;;;
;4358453845,00;-154,68;4,36;-2,70;27,38;2,15;-4,91;-0,26;;;
;4358828683,00;-154,97;4,36;-2,70;27,39;2,21;-4,92;-0,25;;;
;4359203520,00;-155,27;4,36;-2,71;27,39;2,23;-4,93;-0,25;;;
;4359578358,00;-155,57;4,36;-2,72;27,39;2,12;-4,94;-0,26;;;
;4359953195,00;-155,86;4,36;-2,72;27,39;2,19;-4,95;-0,25;;;
;4360328033,00;-156,16;4,36;-2,73;27,40;2,17;-4,96;-0,25;;;
;4360702870,00;-156,45;4,36;-2,73;27,40;2,23;-4,96;-0,25;;;
;4361077708,00;-156,75;4,36;-2,74;27,40;2,24;-4,97;-0,25;;;
;4361452545,00;-157,05;4,36;-2,74;27,40;2,15;-4,98;-0,26;;;
;4361827383,00;-157,34;4,36;-2,75;27,41;2,17;-4,99;-0,25;;;
;4362202220,00;-157,63;4,36;-2,75;27,41;2,28;-5,00;-0,24;;;
;4362577058,00;-157,94;4,36;-2,76;27,41;2,09;-5,01;-0,26;;;
;4362951895,00;-158,22;4,36;-2,76;27,41;2,29;-5,02;-0,24;;;
;4363326733,00;-158,53;4,36;-2,77;27,42;2,14;-5,03;-0,26;;;
;4363701570,00;-158,82;4,36;-2,77;27,42;2,21;-5,04;-0,25;;;
;4364076408,00;-159,12;4,36;-2,78;27,42;2,28;-5,05;-0,24;;;
;4364451245,00;-159,43;4,36;-2,78;27,42;2,23;-5,06;-0,25;;;
;4364826083,00;-159,73;4,36;-2,79;27,43;2,25;-5,07;-0,24;;;
;4365200920,00;-160,03;4,37;-2,79;27,43;2,26;-5,08;-0,24;;;
;4365575758,00;-160,34;4,37;-2,80;27,43;2,18;-5,09;-0,25;;;
;4365950595,00;-160,63;4,37;-2,80;27,43;2,22;-5,10;-0,25;;;
;4366325433,00;-160,93;4,37;-2,81;27,43;2,30;-5,11;-0,24;;;
;4366700270,00;-161,24;4,37;-2,81;27,44;2,25;-5,12;-0,24;;;
;4367075108,00;-161,54;4,37;-2,82;27,44;2,31;-5,13;-0,24;;;
;4367449945,00;-161,86;4,37;-2,82;27,44;2,33;-5,14;-0,24;;;
;4367824782,00;-162,17;4,37;-2,83;27,44;2,24;-5,15;-0,25;;;
;4368199620,00;-162,47;4,37;-2,84;27,45;2,27;-5,16;-0,24;;;
;4368574457,00;-162,78;4,37;-2,84;27,45;2,35;-5,17;-0,23;;;
;4368949295,00;-163,10;4,37;-2,85;27,45;2,26;-5,18;-0,24;;;
;4369324132,00;-163,40;4,37;-2,85;27,45;2,35;-5,19;-0,23;;;
;4369698970,00;-163,72;4,37;-2,86;27,46;2,31;-5,20;-0,24;;;
;4370073807,00;-164,03;4,37;-2,86;27,46;2,43;-5,21;-0,23;;;
;4370448645,00;-164,36;4,37;-2,87;27,46;2,29;-5,22;-0,24;;;
;4370823482,00;-164,67;4,37;-2,87;27,46;2,25;-5,23;-0,24;;;
;4371198320,00;-164,97;4,37;-2,88;27,47;2,48;-5,24;-0,22;;;
;4371573157,00;-165,30;4,37;-2,89;27,47;2,41;-5,25;-0,23;;;
;4371947995,00;-165,63;4,37;-2,89;27,47;2,42;-5,26;-0,23;;;
;4372322832,00;-165,96;4,37;-2,90;27,47;2,39;-5,27;-0,23;;;
;4372697670,00;-166,28;4,37;-2,90;27,47;2,40;-5,28;-0,23;;;
